Size,HT50_Present (ms),HT95_Present (ms),Seq_Present (ms),Bin_Present (ms),HT50_NotPresent (ms),HT95_NotPresent (ms),Seq_NotPresent (ms),Bin_NotPresent (ms)
100000,0.000,0.000,0.169,0.000,0.000,0.032,0.338,0.000
200000,0.000,0.000,0.343,0.000,0.000,0.169,0.696,0.000
300000,0.000,0.013,0.520,0.000,0.000,0.199,1.039,0.000
400000,0.000,0.059,0.696,0.000,0.000,0.663,1.397,0.000
500000,0.000,0.001,0.870,0.000,0.000,0.116,1.732,0.000
600000,0.000,0.158,1.030,0.000,0.000,1.442,2.083,0.000
700000,0.000,0.216,2.498,0.000,0.000,1.461,2.275,0.000
800000,0.000,0.183,1.387,0.000,0.001,1.435,2.786,0.000
900000,0.000,0.057,1.570,0.000,0.000,0.671,3.141,0.000
1000000,0.000,0.000,1.745,0.000,0.000,0.000,3.472,0.000
